Destination,Budget_Min,Budget_Max,Start_Date,End_Date,Travel_Type,Activities,Accommodation_Type,Cuisine,Past_Travel_History,Language,Geographical_Features,Cost,Weather_Conditions,Accessibility,Accommodation_Options,Cultural_Highlights,Local_Cuisine,User_Reviews,Special_Features,Tourist_Spots
Goa,82097,151119,2024-01-15,2024-11-01,Family,"Adventure, Cultural, Nature",Resort,South Indian,"Mumbai, Varanasi",English,Varanasi,80000-90000,Tropical,Low,Homestay,Seek color blood usually themselves.,South Indian,4,Gas since environmental idea whom.,Periyar Wildlife Sanctuary
Kerala,142012,20336,2024-03-17,2024-03-18,Solo,"Adventure, Nature",Homestay,Street Food,"Delhi, Kerala",English,Varanasi,70000-80000,Moderate,Medium,Homestay,Leave cut news yet knowledge need.,Street Food,5,Indicate born senior.,"Solang Valley, Rohtang Pass"
Varanasi,53226,120018,2024-02-18,2024-06-20,Solo,Nature,Resort,Street Food,Leh,English,Goa,10000-20000,Moderate,Low,Resort,Card school election age.,North Indian,2,Someone image laugh PM seat hour.,"Munnar, Alleppey, Varkala"
Varanasi,199737,49127,2024-06-10,2024-12-17,Family,"Adventure, Cultural",Homestay,Seafood,"Varanasi, Manali, Mumbai",English,Jaipur,60000-70000,Tropical,High,Hotel,Participant challenge exactly should southern.,South Indian,3,Yourself everybody total political.,"Fort Kochi, Thekkady"
Kerala,119675,13591,2024-02-08,2024-05-25,Couple,"Adventure, Nature",Hostel,Vegetarian,"Delhi, Leh",English,Kerala,40000-50000,Tropical,Medium,Homestay,Her employee central.,Vegetarian,3,Work entire itself write.,Kashi Vishwanath Temple
Delhi,78655,91153,2024-09-08,2025-01-08,Solo,"Adventure, Nature, Food-related",Hotel,Street Food,"Delhi, Kerala, Jaipur",English,Goa,20000-30000,Snowy,Medium,Resort,Player half become.,North Indian,3,Produce tonight law provide yes such.,Periyar Wildlife Sanctuary
Goa,104927,26685,2024-02-28,2024-09-05,Couple,Relaxation,Homestay,Street Food,"Manali, Rishikesh, Kerala",English,Jaipur,90000-100000,Snowy,High,Hostel,Push process positive guess.,Seafood,2,Ahead look institution one.,"Solang Valley, Rohtang Pass"
Leh,105334,27713,2024-07-21,2024-11-26,Family,Food-related,Homestay,Seafood,"Rishikesh, Jaipur, Varanasi",English,Andaman,80000-90000,Snowy,Medium,Villa,Part your through.,Seafood,5,Actually kind collection old.,"Munnar, Alleppey, Varkala"
Leh,132128,15196,2024-08-30,2024-11-22,Family,"Adventure, Nature",Resort,South Indian,"Jaipur, Manali, Goa",English,Jaipur,80000-90000,Tropical,Medium,Villa,Story prepare stand black who.,North Indian,4,Friend yourself human market now black.,"Fort Kochi, Thekkady"
Rishikesh,129943,129313,2024-10-08,2024-11-01,Couple,Adventure,Hostel,Street Food,Mumbai,English,Goa,20000-30000,Tropical,Medium,Villa,Financial they eye should daughter.,Seafood,3,Finish would open yourself.,Kashi Vishwanath Temple
Manali,132927,27242,2024-08-26,2025-01-02,Couple,Cultural,Villa,Seafood,"Andaman, Jaipur, Goa",English,Varanasi,170000-180000,Tropical,Medium,Resort,Word heavy argue.,Street Food,1,Billion national event run city together executive.,Periyar Wildlife Sanctuary
Rishikesh,177272,31017,2024-09-12,2024-12-07,Family,"Nature, Adventure, Relaxation",Hotel,South Indian,Delhi,English,Goa,190000-200000,Moderate,Low,Homestay,Call age brother.,South Indian,4,Necessary pattern continue store project central.,"Solang Valley, Rohtang Pass"
Jaipur,41337,13596,2024-05-21,2024-12-28,Family,Food-related,Villa,Vegetarian,"Manali, Jaipur",English,Varanasi,100000-110000,Moderate,Low,Resort,Spring property seven crime agreement employee suddenly.,Vegetarian,3,Activity tough simply amount.,"Munnar, Alleppey, Varkala"
Manali,198758,187083,2024-09-09,2024-10-09,Solo,"Nature, Adventure",Hostel,North Indian,"Delhi, Andaman",English,Mumbai,130000-140000,Moderate,Medium,Homestay,Act agent success cover have.,Seafood,4,Conference along PM stuff conference maintain.,"Fort Kochi, Thekkady"
Andaman,198222,71758,2024-07-01,2024-08-18,Solo,"Adventure, Food-related, Nature",Resort,Vegetarian,"Kerala, Varanasi, Andaman",English,Varanasi,80000-90000,Moderate,Medium,Homestay,Set participant serious court skin.,South Indian,1,Billion water ever course.,Kashi Vishwanath Temple
Leh,122479,93273,2024-04-09,2024-06-05,Group,"Relaxation, Adventure",Resort,Vegetarian,"Leh, Jaipur, Kerala",English,Jaipur,90000-100000,Moderate,Low,Resort,Big tend movement mouth both difference.,Street Food,3,Administration little measure.,Periyar Wildlife Sanctuary
Jaipur,97082,194125,2024-12-03,2024-12-18,Solo,Cultural,Homestay,Vegetarian,"Manali, Rishikesh",English,Leh,40000-50000,Moderate,Medium,Hotel,Do character charge.,Seafood,3,This more chance consumer focus.,"Solang Valley, Rohtang Pass"
Jaipur,98936,118553,2024-07-19,2024-10-03,Solo,"Food-related, Nature, Cultural",Villa,North Indian,Mumbai,English,Leh,130000-140000,Tropical,Medium,Villa,Fire cup want people food.,Seafood,5,Safe stage eat fund question.,"Munnar, Alleppey, Varkala"
Mumbai,27536,9226,2024-11-10,2024-11-13,Family,"Cultural, Nature, Adventure",Villa,Vegetarian,"Rishikesh, Leh, Kerala",English,Jaipur,30000-40000,Moderate,Medium,Villa,Market hand style someone.,South Indian,1,Fish language program.,"Fort Kochi, Thekkady"
Delhi,73206,113244,2024-08-29,2025-01-05,Solo,"Cultural, Nature",Resort,Vegetarian,"Delhi, Manali, Goa",English,Andaman,180000-190000,Tropical,Low,Homestay,Medical world market crime.,North Indian,1,Force process against rest talk its.,Kashi Vishwanath Temple
Varanasi,114880,158520,2024-04-05,2024-04-23,Couple,"Relaxation, Food-related, Adventure",Resort,North Indian,Andaman,English,Goa,160000-170000,Tropical,High,Hostel,Yourself decade resource should.,Street Food,3,Western TV couple happen.,Periyar Wildlife Sanctuary
Delhi,140778,183683,2024-11-21,2024-12-13,Solo,Adventure,Resort,Seafood,"Rishikesh, Kerala",English,Manali,160000-170000,Tropical,Medium,Hotel,Without as ok.,North Indian,4,Just continue church prevent out memory.,"Solang Valley, Rohtang Pass"
Jaipur,72740,115269,2024-04-12,2024-12-06,Couple,Nature,Homestay,Seafood,"Kerala, Rishikesh",English,Jaipur,170000-180000,Snowy,Medium,Resort,Happy data day because return.,Street Food,4,That past adult unit home kid.,"Munnar, Alleppey, Varkala"
Delhi,101000,13582,2024-10-29,2024-11-30,Group,"Food-related, Cultural",Hostel,North Indian,Varanasi,English,Goa,170000-180000,Tropical,Low,Villa,Audience effect any right cut.,Vegetarian,4,Statement very great agree.,"Fort Kochi, Thekkady"
Delhi,103658,9487,2024-08-20,2025-01-02,Solo,Adventure,Resort,Vegetarian,"Manali, Leh, Jaipur",English,Kerala,90000-100000,Moderate,Medium,Hotel,Wish seek machine democratic local.,South Indian,5,Important share marriage.,Kashi Vishwanath Temple
Leh,134039,151425,2024-03-13,2024-08-10,Group,Adventure,Hostel,Vegetarian,"Mumbai, Andaman, Varanasi",English,Jaipur,20000-30000,Snowy,Medium,Resort,Car plan home who part health.,Seafood,4,Team development almost meet seat answer.,Periyar Wildlife Sanctuary
Jaipur,39518,84913,2024-11-26,2025-01-06,Couple,Adventure,Resort,Street Food,"Goa, Delhi",English,Jaipur,50000-60000,Tropical,Low,Resort,At consumer structure option ten.,North Indian,3,Maybe point nice direction candidate music.,"Solang Valley, Rohtang Pass"
Rishikesh,126864,199505,2024-09-25,2024-11-11,Couple,Relaxation,Resort,Seafood,"Andaman, Mumbai, Rishikesh",English,Mumbai,90000-100000,Moderate,High,Resort,Fly draw painting within.,Street Food,5,Several of at we.,"Munnar, Alleppey, Varkala"
Goa,112567,123656,2024-09-26,2024-11-29,Group,"Relaxation, Cultural",Villa,Vegetarian,Rishikesh,English,Leh,10000-20000,Tropical,Low,Homestay,Officer notice that determine able someone.,Vegetarian,3,Forget man source.,"Fort Kochi, Thekkady"
Rishikesh,5504,94564,2024-10-31,2024-11-02,Family,"Relaxation, Adventure, Cultural",Hotel,Vegetarian,Mumbai,English,Varanasi,180000-190000,Tropical,Medium,Villa,Significant general include boy.,North Indian,5,Yeah note west.,Kashi Vishwanath Temple
Kerala,112639,113580,2024-06-28,2024-08-20,Couple,"Nature, Food-related, Adventure",Homestay,South Indian,"Mumbai, Rishikesh, Manali",English,Mumbai,100000-110000,Moderate,High,Hostel,Eye notice about already.,North Indian,3,Imagine establish another.,Periyar Wildlife Sanctuary
Goa,40554,91168,2024-11-20,2024-12-25,Solo,Food-related,Hostel,South Indian,Leh,English,Mumbai,60000-70000,Tropical,Medium,Resort,Close bar left area special open.,North Indian,3,Town local market.,"Solang Valley, Rohtang Pass"
Mumbai,115107,33069,2024-11-23,2024-11-24,Solo,"Relaxation, Food-related",Resort,South Indian,Delhi,English,Andaman,110000-120000,Snowy,High,Hostel,Lawyer hope pressure like.,Seafood,3,Finish only into.,"Munnar, Alleppey, Varkala"
Varanasi,16200,175154,2024-03-06,2024-12-17,Couple,Food-related,Resort,South Indian,"Delhi, Varanasi, Rishikesh",English,Kerala,190000-200000,Tropical,Low,Hotel,Win decide world.,South Indian,3,Tell reflect not what any gun.,"Fort Kochi, Thekkady"
Varanasi,27927,23129,2024-09-17,2024-09-22,Solo,Relaxation,Hostel,Seafood,"Delhi, Andaman",English,Rishikesh,70000-80000,Tropical,High,Resort,Middle word girl old our none.,South Indian,3,Authority agent debate.,Kashi Vishwanath Temple
Jaipur,142208,101593,2024-09-30,2024-12-03,Couple,Nature,Hotel,Street Food,Manali,English,Andaman,130000-140000,Moderate,High,Hotel,That player white system my include.,Street Food,4,Seat agent feeling left system.,Periyar Wildlife Sanctuary
Delhi,40825,97403,2024-04-20,2024-11-05,Solo,"Food-related, Adventure",Resort,Seafood,"Manali, Leh",English,Delhi,40000-50000,Moderate,Low,Homestay,Stop kid little.,Vegetarian,5,Interest risk nation.,"Solang Valley, Rohtang Pass"
Manali,171667,42861,2024-01-04,2024-11-03,Family,"Adventure, Nature",Resort,Vegetarian,Andaman,English,Kerala,40000-50000,Snowy,High,Hotel,Interesting nearly long.,North Indian,4,Change operation however drop might.,"Munnar, Alleppey, Varkala"
Mumbai,131427,185793,2024-10-30,2024-11-09,Group,Nature,Resort,Seafood,"Andaman, Manali",English,Goa,40000-50000,Tropical,Low,Hotel,Himself public true employee statement wear.,Street Food,1,Activity happen society.,"Fort Kochi, Thekkady"
Goa,106041,176400,2024-01-02,2024-04-14,Solo,"Food-related, Relaxation, Cultural",Homestay,South Indian,"Leh, Delhi",English,Rishikesh,140000-150000,Tropical,Low,Villa,Within right outside language look.,South Indian,5,Today spring short likely produce.,Kashi Vishwanath Temple
Mumbai,182073,185839,2024-09-27,2024-12-28,Group,"Adventure, Food-related, Cultural",Hostel,North Indian,"Jaipur, Mumbai, Delhi",English,Manali,190000-200000,Snowy,High,Hotel,Friend agency hospital eat full live.,Vegetarian,4,Western expect risk.,Periyar Wildlife Sanctuary
Goa,118246,181043,2024-10-15,2024-11-05,Solo,Adventure,Hostel,Vegetarian,Goa,English,Kerala,30000-40000,Snowy,Medium,Hotel,What like grow one.,Seafood,1,Answer executive realize election.,"Solang Valley, Rohtang Pass"
Jaipur,80980,135463,2024-11-09,2024-12-24,Couple,Cultural,Hotel,Vegetarian,"Leh, Varanasi",English,Rishikesh,80000-90000,Snowy,Medium,Hotel,Name past network.,South Indian,3,Law director discover top.,"Munnar, Alleppey, Varkala"
Jaipur,46186,178801,2024-01-19,2024-07-05,Family,"Nature, Adventure",Villa,Seafood,"Delhi, Manali, Andaman",English,Jaipur,120000-130000,Tropical,High,Resort,Any news impact leave energy if.,Seafood,4,Development wind reduce society.,"Fort Kochi, Thekkady"
Manali,102925,12556,2024-01-11,2024-06-01,Group,Nature,Homestay,Seafood,"Manali, Goa",English,Delhi,150000-160000,Moderate,High,Resort,Career like issue discuss final.,Vegetarian,5,Indeed word respond.,Kashi Vishwanath Temple
Leh,32546,172701,2024-06-01,2024-11-27,Family,"Nature, Food-related, Relaxation",Resort,North Indian,"Andaman, Leh",English,Mumbai,40000-50000,Moderate,High,Hotel,Still animal Mr television ground according.,Seafood,3,Tend central itself.,Periyar Wildlife Sanctuary
Mumbai,154245,12063,2024-02-29,2024-03-18,Solo,"Food-related, Cultural, Adventure",Hotel,South Indian,"Delhi, Varanasi, Rishikesh",English,Rishikesh,40000-50000,Moderate,Low,Hotel,Quite own money who.,North Indian,4,Girl food remain simple.,"Solang Valley, Rohtang Pass"
Jaipur,22649,108758,2024-12-02,2024-12-12,Couple,Adventure,Resort,Street Food,Delhi,English,Varanasi,100000-110000,Snowy,High,Hotel,Wife property language half science pay.,Street Food,5,Thousand lot assume investment response Mr.,"Munnar, Alleppey, Varkala"
Varanasi,82698,101424,2024-11-13,2024-12-01,Family,"Cultural, Relaxation",Villa,North Indian,"Kerala, Mumbai",English,Mumbai,10000-20000,Moderate,Low,Resort,Color shake interest Mr reason shoulder.,Seafood,3,Rise under get oil leader.,"Fort Kochi, Thekkady"
Jaipur,76448,166757,2024-02-27,2024-08-08,Couple,"Adventure, Relaxation, Cultural",Villa,North Indian,"Andaman, Mumbai, Kerala",English,Jaipur,30000-40000,Tropical,Low,Hostel,Past go everyone move.,Vegetarian,3,Add senior popular.,Kashi Vishwanath Temple
Kerala,95562,193143,2024-02-18,2024-10-14,Group,Nature,Villa,Street Food,Mumbai,English,Andaman,40000-50000,Snowy,Low,Villa,Technology power leader happy activity religious.,Seafood,5,Leave finally picture.,Periyar Wildlife Sanctuary
Manali,30961,75665,2024-09-28,2024-11-23,Couple,Nature,Villa,Seafood,"Goa, Mumbai, Leh",English,Leh,110000-120000,Tropical,High,Hotel,Fire yet television cultural film conference.,Seafood,3,Their east across.,"Solang Valley, Rohtang Pass"
Goa,39870,193293,2024-04-19,2024-06-14,Group,"Food-related, Relaxation",Homestay,South Indian,Rishikesh,English,Kerala,170000-180000,Tropical,Medium,Hotel,Add reduce why.,Street Food,4,Movement culture itself section collection whole.,"Munnar, Alleppey, Varkala"
Rishikesh,52638,134029,2024-04-10,2024-11-25,Group,"Food-related, Cultural",Villa,Street Food,Leh,English,Mumbai,140000-150000,Snowy,Low,Hostel,Reality budget feeling low really.,South Indian,2,Answer more amount general.,"Fort Kochi, Thekkady"
Varanasi,153299,7135,2024-05-29,2024-07-25,Solo,"Nature, Adventure, Relaxation",Homestay,Vegetarian,Mumbai,English,Kerala,120000-130000,Snowy,High,Hostel,Unit drive agree wonder can account.,Vegetarian,1,Think cup consider.,Kashi Vishwanath Temple
Rishikesh,72584,159299,2024-11-14,2024-12-08,Solo,"Food-related, Nature, Adventure",Villa,North Indian,Andaman,English,Jaipur,190000-200000,Moderate,Medium,Hostel,Almost company physical free prepare walk.,North Indian,2,Owner every serve.,Periyar Wildlife Sanctuary
Varanasi,182010,114748,2024-05-27,2024-06-16,Family,"Adventure, Relaxation, Cultural",Hostel,Vegetarian,Delhi,English,Goa,100000-110000,Snowy,High,Homestay,Guess would someone.,South Indian,3,Much account threat form skin.,"Solang Valley, Rohtang Pass"
Goa,154242,133923,2024-11-26,2025-01-04,Couple,"Food-related, Cultural, Relaxation",Hotel,Vegetarian,Rishikesh,English,Andaman,70000-80000,Moderate,Low,Homestay,Bad design after what method short name.,South Indian,3,Job have minute candidate make receive.,"Munnar, Alleppey, Varkala"
Mumbai,98054,13739,2024-08-24,2024-12-25,Family,Food-related,Villa,South Indian,"Delhi, Leh",English,Kerala,80000-90000,Moderate,Medium,Homestay,Reveal respond serve.,North Indian,1,Several term boy.,"Fort Kochi, Thekkady"
Jaipur,178222,100866,2024-01-16,2024-03-01,Group,Nature,Resort,Seafood,"Manali, Leh",English,Leh,130000-140000,Tropical,Low,Homestay,Tough author tax act.,South Indian,3,Sometimes remain join.,Kashi Vishwanath Temple
Delhi,114706,55434,2024-07-19,2024-09-28,Group,"Adventure, Relaxation",Resort,North Indian,Kerala,English,Mumbai,190000-200000,Tropical,Medium,Resort,Short media Mr the board start.,Vegetarian,1,Wall source music recently.,Periyar Wildlife Sanctuary
Rishikesh,37076,93296,2024-09-19,2024-09-30,Couple,"Relaxation, Cultural, Adventure",Hotel,Street Food,"Goa, Rishikesh, Manali",English,Leh,40000-50000,Snowy,Low,Resort,Collection western two even high important.,Vegetarian,4,Should standard discuss after.,"Solang Valley, Rohtang Pass"
Mumbai,170231,7166,2024-07-28,2024-11-04,Solo,"Relaxation, Adventure, Food-related",Homestay,Seafood,"Delhi, Kerala",English,Varanasi,60000-70000,Moderate,High,Hotel,Remain wear newspaper then.,Street Food,4,Medical employee value let claim.,"Munnar, Alleppey, Varkala"
Delhi,152127,167186,2024-10-19,2024-10-20,Solo,Relaxation,Hotel,North Indian,"Goa, Delhi, Andaman",English,Manali,110000-120000,Snowy,Medium,Resort,Side project north.,South Indian,2,It senior pretty common eye test imagine.,"Fort Kochi, Thekkady"
Jaipur,86527,155605,2024-10-14,2025-01-05,Group,"Cultural, Relaxation",Resort,Vegetarian,Goa,English,Jaipur,120000-130000,Tropical,Medium,Hostel,Shoulder star piece window past.,Vegetarian,5,Organization example way continue example few.,Kashi Vishwanath Temple
Goa,170423,113550,2024-01-25,2024-05-24,Solo,"Relaxation, Food-related",Villa,North Indian,Rishikesh,English,Rishikesh,140000-150000,Moderate,Medium,Villa,Look chance down listen agency your.,Street Food,1,Bank spend billion heavy.,Periyar Wildlife Sanctuary
Jaipur,106369,58805,2024-04-16,2024-07-09,Group,"Cultural, Relaxation",Hostel,Vegetarian,"Goa, Kerala",English,Rishikesh,90000-100000,Tropical,High,Hotel,Serious pattern dinner fight.,Vegetarian,3,Once enter same.,"Solang Valley, Rohtang Pass"
Manali,143524,85761,2024-02-17,2024-05-10,Family,"Relaxation, Cultural",Hostel,North Indian,Varanasi,English,Goa,70000-80000,Moderate,Medium,Homestay,Method experience recently clear why.,North Indian,3,Agreement play Democrat.,"Munnar, Alleppey, Varkala"
Jaipur,132044,88954,2024-12-05,2025-01-04,Family,"Adventure, Cultural, Food-related",Villa,North Indian,"Goa, Manali",English,Kerala,150000-160000,Tropical,Medium,Homestay,Five smile knowledge sign give.,North Indian,2,Realize traditional describe article.,"Fort Kochi, Thekkady"
Kerala,128406,63593,2024-06-27,2024-08-08,Family,"Nature, Cultural, Food-related",Hostel,Vegetarian,"Goa, Andaman",English,Delhi,90000-100000,Moderate,Low,Hostel,Want tell already important change.,South Indian,4,At although manager.,Kashi Vishwanath Temple
Rishikesh,158621,48097,2024-01-06,2024-03-23,Couple,"Relaxation, Cultural",Resort,Vegetarian,"Delhi, Leh",English,Manali,120000-130000,Tropical,Medium,Villa,Above he admit someone majority.,North Indian,3,Section nothing campaign.,Periyar Wildlife Sanctuary
Kerala,181195,10450,2024-12-05,2024-12-27,Solo,"Relaxation, Nature, Food-related",Resort,Vegetarian,"Goa, Jaipur, Leh",English,Mumbai,100000-110000,Tropical,High,Villa,Hair smile rock.,Vegetarian,5,Question why unit change American.,"Solang Valley, Rohtang Pass"
Manali,55582,175181,2024-01-14,2024-03-20,Solo,"Adventure, Nature",Villa,Street Food,"Kerala, Jaipur, Rishikesh",English,Goa,40000-50000,Tropical,High,Hotel,Prepare themselves individual stand apply population.,South Indian,2,Attack policy ago anything.,"Munnar, Alleppey, Varkala"
Jaipur,151240,108094,2024-07-05,2024-10-31,Group,Food-related,Resort,Street Food,"Jaipur, Delhi",English,Goa,40000-50000,Tropical,Low,Villa,Serve front according require culture.,Street Food,4,Building feeling test it I voice.,"Fort Kochi, Thekkady"
Andaman,163072,48424,2024-01-02,2024-09-28,Couple,"Adventure, Relaxation, Nature",Villa,North Indian,Jaipur,English,Leh,190000-200000,Snowy,Medium,Homestay,Them over lose soon walk size.,Street Food,4,List these guy stand late able.,Kashi Vishwanath Temple
Kerala,160519,174280,2024-07-14,2024-09-03,Group,Relaxation,Hostel,Vegetarian,"Varanasi, Andaman, Goa",English,Jaipur,90000-100000,Tropical,High,Resort,Deep statement structure tonight once successful.,Street Food,2,Top fact out can southern.,Periyar Wildlife Sanctuary
Leh,192312,88425,2024-03-10,2024-12-05,Couple,Nature,Hostel,Vegetarian,"Varanasi, Rishikesh, Leh",English,Varanasi,70000-80000,Tropical,Low,Resort,Color above condition billion.,Seafood,2,Several film hour account where.,"Solang Valley, Rohtang Pass"
Goa,68259,37352,2024-09-17,2024-12-15,Group,"Cultural, Food-related",Hostel,North Indian,"Delhi, Mumbai",English,Leh,80000-90000,Snowy,Low,Resort,Ten fire age machine book.,Seafood,3,Happy hospital discuss.,"Munnar, Alleppey, Varkala"
Delhi,67411,182534,2024-04-14,2024-08-02,Family,Relaxation,Resort,South Indian,"Goa, Mumbai, Andaman",English,Mumbai,0-10000,Snowy,High,Homestay,City under last boy yourself her.,Vegetarian,3,Husband over his wait could.,"Fort Kochi, Thekkady"
Varanasi,39587,184153,2024-01-19,2024-07-30,Solo,"Food-related, Nature, Relaxation",Villa,Street Food,"Kerala, Andaman",English,Kerala,190000-200000,Snowy,Medium,Homestay,Attorney lose often shake.,North Indian,3,Real reveal court final.,Kashi Vishwanath Temple
Varanasi,146317,195938,2024-11-05,2024-11-06,Family,"Nature, Cultural, Adventure",Homestay,Vegetarian,"Delhi, Manali",English,Andaman,50000-60000,Snowy,Medium,Hostel,Process live message.,Street Food,2,Candidate next guess particularly others key crime.,Periyar Wildlife Sanctuary
Manali,155380,22804,2024-08-15,2024-12-20,Solo,"Food-related, Relaxation",Villa,Seafood,Mumbai,English,Kerala,10000-20000,Snowy,High,Villa,Full sea down unit.,North Indian,4,Movement need huge.,"Solang Valley, Rohtang Pass"
Jaipur,24583,79795,2024-09-20,2024-12-04,Couple,Adventure,Hostel,Vegetarian,"Kerala, Leh",English,Leh,170000-180000,Tropical,High,Hotel,Develop security its else produce toward.,Vegetarian,3,Hour return fish.,"Munnar, Alleppey, Varkala"
Rishikesh,10678,6144,2024-04-23,2024-05-11,Couple,"Food-related, Relaxation, Nature",Homestay,Street Food,"Andaman, Manali",English,Jaipur,70000-80000,Tropical,Medium,Hostel,Anyone possible level build thousand decision.,Seafood,1,Energy win check.,"Fort Kochi, Thekkady"
Rishikesh,91735,152750,2024-04-28,2024-06-16,Couple,Cultural,Hostel,Vegetarian,"Manali, Jaipur",English,Kerala,120000-130000,Tropical,High,Villa,Study blood whole role current brother.,North Indian,5,Coach upon foreign site section choose.,Kashi Vishwanath Temple
Andaman,7743,24335,2024-10-04,2024-12-11,Solo,"Relaxation, Adventure, Food-related",Hostel,Vegetarian,Goa,English,Goa,60000-70000,Moderate,Medium,Hotel,Son smile over.,South Indian,5,We travel long suffer benefit.,Periyar Wildlife Sanctuary
Goa,95018,179419,2024-10-02,2024-12-01,Group,"Cultural, Food-related, Relaxation",Hotel,North Indian,"Rishikesh, Leh, Manali",English,Andaman,100000-110000,Moderate,Medium,Villa,Else sing half collection public stop.,Street Food,5,Sense vote throughout site hand.,"Solang Valley, Rohtang Pass"
Manali,159172,191440,2024-11-11,2024-12-26,Group,"Nature, Food-related",Hostel,Street Food,"Kerala, Mumbai",English,Varanasi,10000-20000,Snowy,Low,Homestay,Four may none thus.,Vegetarian,2,Answer moment stand sort.,"Munnar, Alleppey, Varkala"
Mumbai,86689,126489,2024-07-09,2024-11-03,Solo,"Relaxation, Cultural",Resort,Seafood,"Rishikesh, Varanasi, Goa",English,Goa,50000-60000,Moderate,High,Homestay,Beat way night policy.,Street Food,3,Throughout total agree clearly.,"Fort Kochi, Thekkady"
Leh,50414,71307,2024-01-06,2024-07-17,Family,"Relaxation, Adventure",Resort,Seafood,"Manali, Rishikesh",English,Mumbai,10000-20000,Snowy,Medium,Villa,Really age exist.,Seafood,1,Paper indeed cold.,Kashi Vishwanath Temple
Andaman,167473,171590,2024-02-17,2024-04-14,Solo,Nature,Villa,Seafood,Delhi,English,Kerala,80000-90000,Snowy,High,Villa,Response at thank.,Seafood,4,Join southern senior either.,Periyar Wildlife Sanctuary
Leh,64645,83113,2024-05-12,2024-08-07,Couple,"Adventure, Cultural, Relaxation",Villa,Seafood,"Goa, Manali, Kerala",English,Rishikesh,20000-30000,Moderate,Low,Hostel,Provide manage camera conference eight perform.,South Indian,4,Moment kid while though or.,"Solang Valley, Rohtang Pass"
Leh,54287,164130,2024-03-21,2024-06-06,Family,"Adventure, Food-related",Homestay,Street Food,"Jaipur, Manali, Rishikesh",English,Kerala,170000-180000,Snowy,Medium,Resort,Also vote ability hair.,South Indian,1,Economic where act list.,"Munnar, Alleppey, Varkala"
Mumbai,54002,115299,2024-11-24,2024-12-30,Couple,"Cultural, Adventure",Resort,South Indian,"Kerala, Andaman",English,Delhi,90000-100000,Moderate,Low,Hostel,Building people experience door personal but.,Street Food,3,Worry matter including tend operation build.,"Fort Kochi, Thekkady"
Mumbai,138067,33651,2024-01-19,2024-05-03,Family,Food-related,Hotel,Street Food,"Andaman, Varanasi",English,Andaman,190000-200000,Tropical,Medium,Resort,Evening before short.,Seafood,4,Perhaps suddenly home if off.,Kashi Vishwanath Temple
Leh,31430,179712,2024-07-29,2024-09-17,Family,"Adventure, Food-related",Resort,South Indian,Andaman,English,Varanasi,130000-140000,Moderate,Medium,Hotel,Nature also parent by skill water.,North Indian,1,Positive main dream.,Periyar Wildlife Sanctuary
Varanasi,161929,68967,2024-09-05,2024-11-14,Family,"Food-related, Relaxation, Cultural",Resort,Seafood,"Kerala, Leh, Mumbai",English,Jaipur,80000-90000,Moderate,Low,Villa,Certainly oil send trial center compare.,Vegetarian,1,Number billion campaign what note.,"Solang Valley, Rohtang Pass"
Manali,53547,44854,2024-06-15,2024-07-16,Couple,Nature,Homestay,North Indian,"Leh, Mumbai, Varanasi",English,Leh,30000-40000,Tropical,Low,Hostel,Whatever business protect.,Vegetarian,1,Performance none animal hotel executive.,"Munnar, Alleppey, Varkala"
Jaipur,129330,159000,2024-07-13,2024-11-30,Couple,"Adventure, Cultural",Homestay,Street Food,Delhi,English,Goa,180000-190000,Moderate,High,Hotel,Move free yet world though.,North Indian,2,Question save fact treat as.,"Fort Kochi, Thekkady"
Leh,21114,80711,2024-10-25,2024-12-09,Family,"Food-related, Cultural, Adventure",Resort,South Indian,"Delhi, Varanasi",English,Mumbai,90000-100000,Snowy,Low,Resort,National water type around.,South Indian,2,Information still man course use street.,Kashi Vishwanath Temple
Manali,116923,18814,2024-09-22,2024-10-20,Solo,"Relaxation, Food-related",Hotel,North Indian,"Kerala, Goa, Andaman",English,Varanasi,10000-20000,Tropical,High,Hotel,Man believe live.,Vegetarian,2,Clearly wife such.,Periyar Wildlife Sanctuary
Mumbai,78452,148810,2024-06-18,2024-12-25,Family,Relaxation,Resort,South Indian,"Delhi, Leh",English,Leh,130000-140000,Moderate,Low,Hotel,So feeling else month point author.,Street Food,4,Weight make big.,"Solang Valley, Rohtang Pass"
Manali,118461,114112,2024-03-27,2024-09-18,Solo,"Relaxation, Cultural",Villa,Street Food,Delhi,English,Goa,100000-110000,Tropical,High,Homestay,Help road finish apply huge.,North Indian,2,Move born maintain it suddenly thus.,"Munnar, Alleppey, Varkala"
Goa,158872,157508,2024-05-12,2024-12-07,Group,Relaxation,Villa,Seafood,"Goa, Delhi",English,Manali,20000-30000,Moderate,High,Homestay,Research people ask more TV.,Street Food,3,Course simple than loss ever threat.,"Fort Kochi, Thekkady"
Mumbai,41337,11022,2024-12-07,2025-01-07,Solo,"Relaxation, Nature",Homestay,Street Food,Varanasi,English,Kerala,170000-180000,Moderate,High,Homestay,Outside serve find.,South Indian,4,Indeed production middle.,Kashi Vishwanath Temple
Kerala,108753,91113,2024-05-29,2025-01-09,Couple,"Cultural, Relaxation, Nature",Hotel,North Indian,Jaipur,English,Goa,80000-90000,Moderate,Low,Villa,Around third rest.,Seafood,2,Writer reality enough Republican black.,Periyar Wildlife Sanctuary
